Test Case ID,Test Case Name,Precondition,Test Steps,Expected Result,Priority
TC_LOGIN_018,Case Sensitivity in Email,User navigates to VWO login page,1. Enter email in UPPERCASE 2. Enter password 3. Click Login,Email case-insensitive; login should work,Medium
TC_LOGIN_019,Case Sensitivity in Password,User navigates to VWO login page,1. Enter email 2. Enter password in different case 3. Click Login,Login should fail; password is case-sensitive,High
TC_LOGIN_020,Forgot Password Link,User navigates to VWO login page,1. Click Forgot Password link,Forgot password page should load,Medium
TC_LOGIN_021,Sign Up Link Navigation,User navigates to VWO login page,1. Click Sign Up link,Sign up page should load,Medium
TC_LOGIN_022,Remember Me Checkbox,User navigates to VWO login page,1. Enter credentials 2. Check Remember Me 3. Click Login,User logged in; credentials remembered for future logins,Low
TC_LOGIN_023,Session Timeout Logout,User is logged in,1. Leave session idle beyond timeout 2. Access protected page,User logged out; redirected to login page,High
TC_LOGIN_024,Concurrent Login Attempts,User navigates to VWO login page,1. Submit wrong credentials 5+ times rapidly,Account locked or CAPTCHA appears after failed attempts,High
TC_LOGIN_025,CAPTCHA Display After Failed Attempts,User navigates to VWO login page,1. Enter wrong credentials 3-5 times,CAPTCHA should appear to prevent brute force,High
TC_LOGIN_026,CAPTCHA Validation,User on login with CAPTCHA,1. Enter valid CAPTCHA 2. Enter correct credentials 3. Click Login,User should be logged in successfully,Medium
TC_LOGIN_027,Invalid CAPTCHA Validation,User on login with CAPTCHA,1. Enter invalid CAPTCHA 2. Click Login,Error displayed; CAPTCHA refreshed,Medium
TC_LOGIN_028,Two-Factor Authentication SMS OTP,User on VWO login with 2FA enabled,1. Enter email/password 2. Enter SMS OTP received,User logged in after correct OTP,High
TC_LOGIN_029,Two-Factor Authentication Invalid OTP,User on VWO login with 2FA,1. Complete login 2. Enter invalid OTP,Error displayed; OTP field cleared,High
TC_LOGIN_030,Two-Factor Authentication Expired OTP,User on VWO login with 2FA,1. Complete login 2. Wait for OTP expire 3. Enter expired OTP,Error: OTP expired displayed,High
TC_LOGIN_031,Resend OTP Button,User on VWO login with 2FA,1. Complete login 2. Click Resend OTP,New OTP sent; old OTP invalidated,Medium
TC_LOGIN_032,Remember This Device Option,User on VWO login with 2FA,1. Complete login 2. Check Remember Device,Future logins from device don't require OTP,Low
TC_LOGIN_033,Browser Back Button After Logout,User just logged out,1. Click browser back button,User cannot access protected pages; stays on login,High
TC_LOGIN_034,HTTPS Security Verification,User navigates to VWO login page,1. Check URL in address bar,URL should use HTTPS not HTTP,High
TC_LOGIN_035,Password Field Masking,User navigates to VWO login page,1. Enter password in field,Password masked with dots/asterisks,High
TC_LOGIN_036,Show Hide Password Toggle,User on VWO login page,1. Enter password 2. Click show password icon,Password visible in plain text,Low
TC_LOGIN_037,Login Button Disabled State,User navigates to VWO login page,1. Observe login button,Button disabled without credentials,Medium
TC_LOGIN_038,Loading Indicator During Login,User on VWO login page,1. Enter credentials 2. Click Login button,Loading spinner/indicator visible,Low
TC_LOGIN_039,Network Error During Login,User on VWO login page,1. Disable network 2. Enter credentials 3. Click Login,Appropriate error message displayed,Medium
TC_LOGIN_040,Login Page Responsiveness Mobile,User navigates to VWO login on mobile,1. Observe layout on mobile screen,Page responsive; all elements accessible,Medium
TC_LOGIN_041,Login Page Responsiveness Tablet,User navigates to VWO login on tablet,1. Observe layout on tablet screen,Page responsive; properly aligned,Medium
TC_LOGIN_042,Login Page Cookie Handling,User navigates to VWO login page,1. Clear cookies 2. Login 3. Observe cookies,Session cookies created after login,Medium
TC_LOGIN_043,Login with Google Social Media,User navigates to VWO login page,1. Click Login with Google button,Google authentication dialog appears,Low
TC_LOGIN_044,Login with GitHub Social Media,User navigates to VWO login page,1. Click Login with GitHub button,GitHub authentication dialog appears,Low
TC_LOGIN_045,Browser Autocomplete Password,User on VWO login page,1. Click email field; observe autocomplete,Browser shows saved suggestions safely,Low
TC_LOGIN_046,CSRF Protection Token,User navigates to VWO login page,1. Verify CSRF token in page source,CSRF token present in form,High
TC_LOGIN_047,Login Accessibility Tab Navigation,User navigates to VWO login page,1. Use Tab key to navigate elements,All interactive elements reachable via Tab,Medium
TC_LOGIN_048,Login Accessibility Screen Reader,User on VWO login page,1. Verify labels and ARIA attributes,All form elements have proper labels,Medium
TC_LOGIN_049,Login Page Performance Load Time,User navigates to VWO login page,1. Measure page load time,Page loads in less than 2 seconds,Low
TC_LOGIN_050,Error Message Clarity,User attempts login with errors,1. Trigger multiple error scenarios,Error messages clear; don't expose system details,Medium
